Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
8c 7c 6s 5d,3106,7207,3035,550,10696,255,141,7,3
8s 7c 6s 5c,3113,7157,2961,550,10609,476,114,6,14
Kc 0c 7c 5d,6019,11258,3793,689,456,2657,118,4,6
9h 8s 8c 6s,0,9644,9814,2202,2007,240,1031,58,4
As Ks Qs 6c,6087,10831,3655,676,870,2712,111,6,52
Jh 0s 0d 8c,0,9579,10043,2300,1986,0,1029,63,0
As Ac Jh 0d,0,10154,10222,2407,1193,0,956,68,0
Jd 8s 7c 6s,5975,11377,3833,697,2749,240,120,6,3
As Ks Qs 9d,5970,11032,3679,725,822,2574,123,5,70
Jh 0d 8c 4h,6236,11713,3862,732,2085,248,118,6,0
As Qs Js 3d,5942,10944,3716,682,996,2520,130,8,62
Ks Qs Js Jh,0,8283,9218,2240,1627,2490,946,55,141
As Ks Js 8c,5973,10970,3628,715,954,2577,112,4,67
As Ks Kh Qs,0,8804,9386,2273,884,2570,954,65,64
As 0d 8c 5h,7209,12503,3855,736,577,0,114,6,0
Kc Jh 0d 8c,5984,11315,3842,687,2792,269,105,6,0
As Ac Jh 8c,0,10567,10342,2522,276,265,947,81,0
Kc 0c 7c 5s,6089,11243,3732,679,473,2668,106,4,6
As Ah Kh 9h,0,9313,9654,2412,75,2621,859,65,1
As 0d 8c 5s,7127,12397,3871,734,525,229,110,7,0
As Ah Ks 5s,0,9377,9490,2425,152,2595,901,60,0
8s 8c 7c 6s,0,8767,9727,2247,2706,443,1027,73,10
Kc 0s 7c 4c,6148,11090,3716,718,507,2691,118,9,3
As Ks Js 5c,6001,10882,3719,723,941,2536,113,9,76
As 0d 0c 8c,0,10562,10316,2463,385,244,957,69,4
Kc 0c 7c 2c,3135,6531,2685,538,172,11800,130,4,5
As Jh Jd 8c,0,10804,10418,2483,288,0,944,63,0
8s 7c 6s 2s,5139,10361,3674,708,2361,2629,117,6,5
8d 8c 7c 6s,0,8958,9662,2255,2749,256,1043,66,11
As Qc Jh 0d,4564,9315,3471,671,6844,0,128,7,0
As Ah Ks 4d,0,10782,10271,2559,153,249,917,64,5
8s 8c 6s 5c,0,9429,9780,2235,1922,468,1081,75,10
As Ah Ks 8s,0,9310,9625,2419,61,2595,925,65,0
0h 8s 7c 6s,4564,9260,3508,673,6669,202,108,12,4
Kc Jh 0c 4c,5454,10615,3720,754,1644,2691,114,3,5
As Ks Kh 6s,0,9365,9576,2313,79,2670,923,71,3
As Ah Ks 8d,0,10773,10320,2596,97,237,920,56,1
As Ks Js 6s,2953,6259,2752,541,498,11812,110,8,67
As Ah Kh 0d,0,10369,10006,2442,957,253,904,69,0
Jh 0d 8c 3h,6395,11662,3861,753,1965,230,129,5,0
8s 8c 7c 6c,0,7655,9107,2113,2351,2450,1058,78,188
Jh 0d 8s 8c,0,9648,9994,2356,1967,0,971,64,0
Kc 7c 4c 2h,6413,11163,3738,686,227,2647,121,2,3
Kh 8s 8c 7c,0,10541,10285,2478,399,244,970,73,10
As Jh 8c 4h,7124,12416,3969,717,436,208,125,5,0
As Jh 0d 5s,6621,12095,4034,702,1182,240,120,6,0
Ah Ks Kh 4c,0,10639,10425,2464,201,238,957,75,1
Kc 0c 9h 7c,5055,10262,3739,660,2383,2804,93,3,1
As Jh 0d 9c,6096,11530,3795,671,2774,0,127,7,0
Ks Kc 0c 7c,0,9031,9659,2353,317,2547,1002,84,7
9h 8s 8c 7c,0,8763,9791,2250,2830,225,1059,72,10
8s 8c 7c 2s,0,10426,10350,2319,343,450,1038,68,6
Qh 8s 8c 7c,0,10613,10305,2433,370,223,974,75,7
Kc 0c 7c 2s,6310,11287,3726,677,293,2577,121,6,3
Jc 8s 8c 7c,0,8541,9631,2195,1003,2489,1017,63,61
As Ks Js 9s,2985,6339,2770,541,521,11632,131,2,79
Ah Kc 7c 4c,6318,11172,3775,676,290,2656,105,6,2
Ah Ks Qs Js,4362,8714,3367,617,5179,2522,103,4,132
As Jh 0d 2h,6726,12102,3835,711,1276,228,115,7,0
Ah Ks Kh 0d,0,9929,10265,2515,966,247,1003,74,1
8s 7c 6s 3d,5943,11328,3843,725,2809,231,108,8,5
Kc 8s 8c 7c,0,9065,9657,2280,298,2644,981,70,5
0s 8s 7c 6s,3971,8376,3380,613,5777,2676,122,9,76
Ah Ks Kh 0h,0,8752,9237,2420,862,2678,927,62,62
As Jh 0d 3s,6776,11948,3906,737,1231,250,144,8,0
As Jh 8c 5d,7225,12431,3966,693,563,0,116,6,0
As Qs Js 9d,5528,10717,3665,688,1617,2590,126,13,56
As Kh Jh 8c,6956,11942,3921,710,1121,221,119,6,4
As Ks Kh 7d,0,10953,10231,2495,92,238,908,82,1
Kc Qd 0c 4c,5600,10482,3729,721,1669,2688,102,4,5
As Jh 8c 3c,7364,12411,3830,672,353,238,124,8,0
Ad Ks Qs Js,4367,8721,3332,579,5254,2484,123,6,134
Ah 8c 7c 6s,5850,11366,3798,723,2885,247,118,5,8
Ks Qs Js 0d,2818,6517,2978,560,9408,2448,116,3,152
